page_no,review_no,artist,album,genre,author,publish_date,bnm,cover_art,url
2,12,Ka,Descendants of Cain,Rap,Paul A. Thompson,May 13 2020,No,https://media.pitchfork.com/photos/5eb5d7aae5423e84f420e651/1:1/w_160/Descendants%20of%20Cain_Ka.jpeg,/reviews/albums/ka-descendants-of-cain/
3,1,Chris Brown,Slime&B,Electronic,Sheldon Pearce,May 13 2020,No,https://media.pitchfork.com/photos/5eb5d8bd7408de6d52fb5c81/1:1/w_160/Slime&B_Chris%20Brown%20and%20Young%20Thug.jpg,/reviews/albums/chris-brown-young-thug-slimeandb/
3,2,Little Simz,Drop 6 EP,Rap,Aimee Cliff,May 13 2020,No,https://media.pitchfork.com/photos/5eb97c028b87698b3b0b9d99/1:1/w_160/Drop%206%20EP_Little%20Simz.jpg,/reviews/albums/little-simz-drop-6-ep/
3,3,Ric Wilson ,They Call Me Disco EP,Rap,Jackson Howard,May 11 2020,No,https://media.pitchfork.com/photos/5eb585727408de6d52fb5c71/1:1/w_160/They%20Call%20Me%20Disco%20EP_Ric%20Wilson%20&%20Terrace%20Martin.jpg,/reviews/albums/ric-wilson-terrace-martin-they-call-me-disco-ep/
3,4,Mozzy,Beyond Bulletproof,Rap,Sheldon Pearce,May 9 2020,No,https://media.pitchfork.com/photos/5eb18638a4765fb4ce1855f1/1:1/w_160/Beyond%20Bulletproof_Mozzy.jpg,/reviews/albums/mozzy-beyond-bulletproof/
3,5,Clams Casino,Instrumental Relics,Rap,Nathan Smith,May 6 2020,No,https://media.pitchfork.com/photos/5eb074aba1bcd64187eed46e/1:1/w_160/Instrumental%20Relics_Clams%20Casino.jpg,/reviews/albums/clams-casino-instrumental-relics/
3,6,Fivio Foreign,800 BC,Rap,Ben Dandridge-Lemco,May 6 2020,No,https://media.pitchfork.com/photos/5eb0763daa1f4567491c2ced/1:1/w_160/800%20B.C._Fivio%20Foreign.jpg,/reviews/albums/fivio-foreign-800-bc/
3,7,Drake,Dark Lane Demo Tapes,Rap,Rawiya Kameir,May 5 2020,No,https://media.pitchfork.com/photos/5eb04c24ce714c8d7cfce6f1/1:1/w_160/Dark%20Lane%20Demo%20Tapes_Drake.jpg,/reviews/albums/drake-dark-lane-demo-tapes/
3,8,Trouble,Thug Luv,Rap,Sheldon Pearce,April 30 2020,No,https://media.pitchfork.com/photos/5ea71819f7770300095897e1/1:1/w_160/Thug%20Luv_Trouble.jpg,/reviews/albums/trouble-thug-luv/
3,9,YoungBoy Never Broke Again,38 Baby 2,Rap,Alphonse Pierre,April 29 2020,No,https://media.pitchfork.com/photos/5ea70028e71e2d000939e445/1:1/w_160/38%20Baby%202_Youngboy%20Never%20Broke%20Again.jpg,/reviews/albums/youngboy-never-broke-again-38-baby-2/
