page_no,review_no,artist,album,genre,author,publish_date,bnm,cover_art,url
29,7,Roc Marciano,Behold a Dark Horse,Rap,Sheldon Pearce,September 28 2018,No,https://media.pitchfork.com/photos/5ba3f0ed66ff630650f8e3b5/1:1/w_160/marciano_behold%20a%20dark%20horse.jpg,/reviews/albums/roc-marciano-behold-a-dark-horse/
29,8,BROCKHAMPTON,iridescence,Rap,Reed Jackson,September 26 2018,No,https://media.pitchfork.com/photos/5ba8f50266ff630650f8e4ea/1:1/w_160/brockhampton_iridescence.jpg,/reviews/albums/brockhampton-iridescence/
29,9,Bhad Bhabie,15,Rap,Michelle Kim,September 26 2018,No,https://media.pitchfork.com/photos/5ba255c397e58c2d5455ed96/1:1/w_160/15_bhad%20bhabie.jpg,/reviews/albums/bhad-bhabie-15/
29,10,YBN Nahmir ,YBN: The Mixtape,Rap,Reed Jackson,September 25 2018,No,https://media.pitchfork.com/photos/5ba160d2fc90ee3397c240b2/1:1/w_160/Ybn_the%20Mixtape.jpg,/reviews/albums/ybn-nahmir-ybn-cordae-ybn-almighty-ybn-the-mixtape/
29,11,MHD,19,Rap,Jonah Bromwich,September 25 2018,No,https://media.pitchfork.com/photos/5ba3fdfcba92702ce4891b60/1:1/w_160/mhd_19.jpg,/reviews/albums/mhd-19/
29,12,De La Soul,3 Feet High and Rising,Rap,Jeff Chang,September 23 2018,No,https://media.pitchfork.com/photos/5ba54ee3b5a62d2d54af5c50/1:1/w_160/3feet.jpg,/reviews/albums/de-la-soul-3-feet-high-and-rising/
30,1,Bun B,Return of the Trill,Rap,Evan Rytlewski,September 21 2018,No,https://media.pitchfork.com/photos/5b9fbf4193953040b94691f7/1:1/w_160/Bun%20B_Return%20of%20the%20Trill.jpg,/reviews/albums/bun-b-return-of-the-trill/
30,2,Noname,Room 25,Rap,Briana Younger,September 19 2018,Yes,https://media.pitchfork.com/photos/5b9939fe2f121f3b5aebae6c/1:1/w_160/Noname_Room25.jpg,/reviews/albums/noname-room-25/
30,3,Octavian ,SPACEMAN,Rap,Ciaran Thapar,September 13 2018,No,https://media.pitchfork.com/photos/5b967cdeaddb2f2df17c475a/1:1/w_160/spaceman.jpg,/reviews/albums/octavian-spaceman/
30,4,slowthai,RUNT EP,Rap,Sheldon Pearce,September 13 2018,No,https://media.pitchfork.com/photos/5b968a061265072719e80077/1:1/w_160/slowthai_runt.jpg,/reviews/albums/slowthai-runt-ep/
30,5,G Perico,Guess What? EP,Rap,Jackson Howard,September 12 2018,No,https://media.pitchfork.com/photos/5b980ee12f121f3b5aebada3/1:1/w_160/guesswhat.jpg,/reviews/albums/g-perico-guess-what-ep/
30,6,Joey Purp,QUARTERTHING,Rap,Sheldon Pearce,September 10 2018,Yes,https://media.pitchfork.com/photos/5b92ee93adc1b81bc5a47966/1:1/w_160/quarterthing.jpg,/reviews/albums/joey-purp-quarterthing/
30,7,T.I.,Trap Muzik,Rap,Stephen Kearse,September 9 2018,No,https://media.pitchfork.com/photos/5b92b57ed277761dc23f75ed/1:1/w_160/trapmuzik.jpg,/reviews/albums/ti-trap-muzik/
30,8,Comethazine,Bawskee,Rap,Alphonse Pierre,September 7 2018,No,https://media.pitchfork.com/photos/5b87023ee67f24490877ef86/1:1/w_160/baws.jpg,/reviews/albums/comethazine-bawskee/
30,9,Eminem,Kamikaze,Rap,Marc Hogan,September 6 2018,No,https://media.pitchfork.com/photos/5b8ffa5ddb74e05a644701f7/1:1/w_160/Eminem_Kamikaze.jpg,/reviews/albums/eminem-kamikaze/
30,10,Bruiser Brigade,Reign Supreme,Rap,Will Schube,September 6 2018,No,https://media.pitchfork.com/photos/5b90362bb47eeb3abaa45a89/1:1/w_160/reignsupreme.jpg,/reviews/albums/bruiser-brigade-reign-supreme/
30,11,Armand Hammer,Paraffin,Rap,Paul A. Thompson,September 5 2018,No,https://media.pitchfork.com/photos/5b86fbd3b47eeb3abaa456b7/1:1/w_160/600x600bb%20(2).jpg,/reviews/albums/armand-hammer-paraffin/
30,12,The Outfit, TX,Little World,Rap,Sheldon Pearce,August 31 2018,No,https://media.pitchfork.com/photos/5b86f30d8eb3e956fb35cf7e/1:1/w_160/littleworld.jpg
31,1,Pink Siifu,ensley,Rap,Jonah Bromwich,August 29 2018,No,https://media.pitchfork.com/photos/5b8032e8a05ddb4ff66cd2cb/1:1/w_160/pink%20siifu_ensley.jpg,/reviews/albums/pink-siifu-ensley/
31,2,Nef the Pharaoh,The Big Chang Theory,Rap,Dean Van Nguyen,August 28 2018,No,https://media.pitchfork.com/photos/5b7ee8d35cc2283e74f4bbf4/1:1/w_160/bigchang.jpg,/reviews/albums/nef-the-pharaoh-the-big-chang-theory/
31,3,DonChristian,Where ThereÃƒÂ¢Ã‚â‚¬Ã‚â„¢s Smoke,Rap,Briana Younger,August 24 2018,No,https://media.pitchfork.com/photos/5b731d5e61613f18abb1b3c3/1:1/w_160/Donchristian_Where%20there's%20smoke.jpg,/reviews/albums/donchristian-where-theres-smoke/
31,4,Hermit and the Recluse,Orpheus vs. the Sirens,Rap,Torii MacAdams,August 23 2018,No,https://media.pitchfork.com/photos/5b7af96a8a8eb536b9b12686/1:1/w_160/The%20Hermit%20And%20The%20Recluse_Orpheus%20Vs%20The%20Sirens.jpg,/reviews/albums/hermit-and-the-recluse-orpheus-vs-the-sirens/
31,5,Young Thug,Slime Language,Rap,Evan Rytlewski,August 22 2018,No,https://media.pitchfork.com/photos/5b77074db1f53320b62b97d4/1:1/w_160/ysl.jpg,/reviews/albums/young-thug-slime-language/
31,6,AminÃƒÆ’Ã‚Â©,ONEPOINTFIVE,Rap,Sheldon Pearce,August 21 2018,No,https://media.pitchfork.com/photos/5b771c3ea78458227bd77dbb/1:1/w_160/Amine%CC%81_ONEPOINTFIVE.jpg,/reviews/albums/amine-onepointfive/
31,7,Young Nudy,Slimeball 3,Rap,Will Schube,August 18 2018,No,https://media.pitchfork.com/photos/5b71c07fc423287de1a830cb/1:1/w_160/slimeball.jpg,/reviews/albums/young-nudy-slimeball-3/
31,8,Knowledge the Pirate,Flintlock,Rap,Phillip Mlynar,August 16 2018,No,https://media.pitchfork.com/photos/5b718ce45900547392650cb5/1:1/w_160/knowledge%20the%20pirate_flintlock.jpg,/reviews/albums/knowledge-the-pirate-flintlock/
31,9,Trippie Redd,LifeÃƒÂ¢Ã‚â‚¬Ã‚â„¢s a Trip,Rap,Alphonse Pierre,August 15 2018,No,https://media.pitchfork.com/photos/5b71c7e64e22cc096cd6de60/1:1/w_160/lifesatrip.jpg,/reviews/albums/trippie-redd-lifes-a-trip/
31,10,milo,Nostrum Grocers,Rap,Will Schube,August 15 2018,No,https://media.pitchfork.com/photos/5b72e287482717722e52d2ab/1:1/w_160/nostrum.jpg,/reviews/albums/milo-elucid-nostrum-grocers/
31,11,Nicki Minaj,Queen,Rap,Briana Younger,August 14 2018,No,https://media.pitchfork.com/photos/5b6da846bd15e70edbb72e33/1:1/w_160/NickiMinaj_Queen.jpg,/reviews/albums/nicki-minaj-queen/
31,12,Chris Crack,Being Woke AinÃƒÂ¢Ã‚â‚¬Ã‚â„¢t Fun,Rap,Torii MacAdams,August 14 2018,No,https://media.pitchfork.com/photos/5b719c86c423287de1a830c2/1:1/w_160/wokeaintfun.jpg,/reviews/albums/chris-crack-being-woke-aint-fun/
32,1,OMB Peezy ,Loyalty Over Love,Rap,Stephen Kearse,August 13 2018,No,https://media.pitchfork.com/photos/5b6deb834e22cc096cd6dd9f/1:1/w_160/loyaltyoverlove.jpg,/reviews/albums/omb-peezy-loyalty-over-love/
32,2,Earl Sweatshirt,Earl,Rap,Sheldon Pearce,August 12 2018,No,https://media.pitchfork.com/photos/5b632cd90b467f03c2c912b2/1:1/w_160/Earl%20Sweatshirt_Earl.jpg,/reviews/albums/earl-sweatshirt-earl/
32,3,Koran Streets,Late 20s,Rap,Jay Balfour,August 11 2018,No,https://media.pitchfork.com/photos/5b63139a130333720162144a/1:1/w_160/late20s.jpg,/reviews/albums/koran-streets-late-20s/
32,4,DJ Muggs,Dia del Asesinato,Rap,Jonah Bromwich,August 10 2018,No,https://media.pitchfork.com/photos/5b68b1a4c734c705ed6590cd/1:1/w_160/DJ%20Muggs_Dia%20Del%20Asesinato.jpg,/reviews/albums/dj-muggs-dia-del-asesinato/
32,5,Tuamie,Emergency Raps, Vol. 3,Rap,Brian Josephs,August 9 2018,No,https://media.pitchfork.com/photos/5b688080f37ea104bc2b5ebb/1:1/w_160/Tuamie_Emergency%20Raps%20Vol3%20.jpg
32,6,Iggy Azalea,Survive the Summer EP,Pop/R&B,Sheldon Pearce,August 8 2018,No,https://media.pitchfork.com/photos/5b61d76b8c062139e20a2f18/1:1/w_160/Iggy%20Azalea_Survive%20the%20Summer.jpg,/reviews/albums/iggy-azalea-survive-the-summer-ep/
32,7,Baka Not Nice,4Milli,Rap,Stephen Kearse,August 8 2018,No,https://media.pitchfork.com/photos/5b68783b2b6700766ad44257/1:1/w_160/baka%20not%20nice_4milli.jpeg,/reviews/albums/baka-not-nice-4milli/
32,8,Travis Scott,Astroworld,Rap,Larry Fitzmaurice,August 7 2018,No,https://media.pitchfork.com/photos/5b60c32dc50e6c2e339b99fe/1:1/w_160/Travis%20Scott_Astroworld.jpg,/reviews/albums/travis-scott-astroworld/
32,9,YG,Stay Dangerous,Rap,Jackson Howard,August 6 2018,No,https://media.pitchfork.com/photos/5b64c0e7f37ea104bc2b5e26/1:1/w_160/staydangerous.jpg,/reviews/albums/yg-stay-dangerous/
32,10,Medhane,Ba Suba, Ak Jamm EP,Rap,Dean Van Nguyen,August 6 2018,No,https://media.pitchfork.com/photos/5b631181bd15e70edbb72839/1:1/w_160/ba%20suba.jpg
32,11,Starlito,At WAR With Myself Too,Rap,Paul A. Thompson,August 4 2018,No,https://media.pitchfork.com/photos/5b5f34ffbdb17d3baf88ea7e/1:1/w_160/Starlito_At%20War%20With%20Myself%20Too.jpg,/reviews/albums/starlito-at-war-with-myself-too/
32,12,Mac Miller,Swimming,Rap,Evan Rytlewski,August 3 2018,No,https://media.pitchfork.com/photos/5b4e36a4dc6c142e533571c8/1:1/w_160/Mac%20Miller_Swimming.jpg,/reviews/albums/mac-miller-swimming/
33,1,G Herbo,Swervo,Rap,Sheldon Pearce,August 1 2018,No,https://media.pitchfork.com/photos/5b5f2d7ad245963b9a1a127d/1:1/w_160/g%20herbo_swervo.jpg,/reviews/albums/g-herbo-southside-swervo/
33,2,ArcÃƒÆ’Ã‚Â¡ngel ,Ares,Rap,Matthew Ismael Ruiz,July 31 2018,No,https://media.pitchfork.com/photos/5b5a3782d245963b9a1a10cb/1:1/w_160/arcangel_ares.jpg,/reviews/albums/arcangel-ares/
33,3,Denzel Curry,TA13OO,Rap,Dean Van Nguyen,July 27 2018,No,https://media.pitchfork.com/photos/5b5a2fecbdb17d3baf88e9ca/1:1/w_160/ta13oo.jpg,/reviews/albums/denzel-curry-ta13oo/
33,4,Soulja Boy,Best to Ever Do It,Rap,Evan Rytlewski,July 27 2018,No,https://media.pitchfork.com/photos/5b50bf64c2c1a63dc091b431/1:1/w_160/soulja%20boy_best%20to%20ever%20do%20it.jpg,/reviews/albums/soulja-boy-best-to-ever-do-it/
33,5,Wiz Khalifa,Rolling Papers 2,Rap,Alphonse Pierre,July 26 2018,No,https://media.pitchfork.com/photos/5b4f8bc91c12c223a5b12221/1:1/w_160/wiz%20khalifa_rolling%20papers%202.jpg,/reviews/albums/wiz-khalifa-rolling-papers-2/
33,6,Nef the Pharaoh,Porter 2 Grape EP,Rap,Paul A. Thompson,July 26 2018,No,https://media.pitchfork.com/photos/5b4cc886dc6c142e533570b7/1:1/w_160/Nef%20Greedo_Porter2Grape.jpg,/reviews/albums/nef-the-pharaoh-03-greedo-porter-2-grape-ep/
33,7,Taylor Bennett,Be Yourself EP,Rap,Phillip Mlynar,July 25 2018,No,https://media.pitchfork.com/photos/5b4f8d64a71ecf33c61c64da/1:1/w_160/taylor%20bennett_be%20yourself.jpg,/reviews/albums/taylor-bennett-be-yourself-ep/
33,8,Marlowe,Marlowe,Rap,Mehan Jayasuriya,July 25 2018,No,https://media.pitchfork.com/photos/5b4ceae52efe75173a1303ee/1:1/w_160/marlowe.jpg,/reviews/albums/marlowe-marlowe/
33,9,Buddy,Harlan & Alondra,Rap,Briana Younger,July 23 2018,No,https://media.pitchfork.com/photos/5b4786f964994230dd926ac7/1:1/w_160/Buddy_HarlanAlondra.jpg,/reviews/albums/buddy-harlan-and-alondra/
33,10,WorldÃƒÂ¢Ã‚â‚¬Ã‚â„¢s Fair,New Lows,Rap,Evan Rytlewski,July 21 2018,No,https://media.pitchfork.com/photos/5b50ef39c2c1a63dc091b468/1:1/w_160/worldsfair.jpeg,/reviews/albums/worlds-fair-new-lows/
33,11,Slimmy B,Feel My Pain EP,Rap,Brian Josephs,July 19 2018,No,https://media.pitchfork.com/photos/5b4650bf47b2f65a946920ab/1:1/w_160/slimmyb_feelmypain.jpg,/reviews/albums/slimmy-b-feel-my-pain-ep/
33,12,Juvenile,400 Degreez,Rap,Paul A. Thompson,July 15 2018,No,https://media.pitchfork.com/photos/5b48fd4cc5c0683b468c7148/1:1/w_160/400degreez.jpg,/reviews/albums/juvenile-400-degreez/
34,1,Westside Gunn,Supreme Blientele,Rap,Mike Madden,July 12 2018,No,https://media.pitchfork.com/photos/5b29222d9e77c15c59ad7ca4/1:1/w_160/Supreme%20Blientele%20by%20Westside%20Gunn.jpg,/reviews/albums/westside-gunn-supreme-blientele/
34,2,Future,BEASTMODE 2,Rap,Meaghan Garvey,July 11 2018,No,https://media.pitchfork.com/photos/5b452dd0ab6b2c4f14a1084a/1:1/w_160/beastmode2.jpg,/reviews/albums/future-beastmode-2/
34,3,Yung Bans,Vol. 5,Rap,Torry Threadcraft,July 11 2018,No,https://media.pitchfork.com/photos/5b451604ab6b2c4f14a10816/1:1/w_160/yungbansvol5.jpg,/reviews/albums/yung-bans-vol-5/
34,4,Meek Mill,Legends of the Summer EP,Rap,Sheldon Pearce,July 10 2018,No,https://media.pitchfork.com/photos/5b43db4bab6b2c4f14a105dd/1:1/w_160/legendsofsummer.jpg,/reviews/albums/meek-mill-legends-of-the-summer-ep/
34,5,03 Greedo,God Level,Rap,Torii MacAdams,July 5 2018,No,https://media.pitchfork.com/photos/5b34edd595d5421d58f01279/1:1/w_160/03%20Greedo:%20God%20Level.jpg,/reviews/albums/03-greedo-god-level/
34,6,Lil Reek,The Graduation,Rap,Alphonse Pierre,July 5 2018,No,https://media.pitchfork.com/photos/5b3b9d2e5d74ba516b4ab2a9/1:1/w_160/thegraduation.jpg,/reviews/albums/lil-reek-the-graduation/
34,7,Drake,Scorpion,Rap,Jamieson Cox,July 2 2018,No,https://media.pitchfork.com/photos/5b295ba179b0b354fe8940f7/1:1/w_160/drake-scorpion.jpg,/reviews/albums/drake-scorpion/
34,8,Freddie Gibbs,Freddie,Rap,Meaghan Garvey,June 29 2018,No,https://media.pitchfork.com/photos/5b3241420e04ca4ea852e5b2/1:1/w_160/Freddie.jpg,/reviews/albums/freddie-gibbs-freddie/
34,9,Death Grips,Year of the Snitch,Experimental,Ian Cohen,June 28 2018,No,https://media.pitchfork.com/photos/5b2139addaa3af2df22a2b7e/1:1/w_160/Death%20Grips_Year%20of%20the%20Snitch.jpg,/reviews/albums/death-grips-year-of-the-snitch/
34,10,MIKE,Renaissance Man,Rap,Jayson Greene,June 28 2018,No,https://media.pitchfork.com/photos/5b32433842074f59ca4a9014/1:1/w_160/mike-renaissance-man-cover-art.jpg,/reviews/albums/mike-renaissance-man/
34,11,A Boogie Wit Da Hoodie,International Artist,Rap,Sheldon Pearce,June 26 2018,No,https://media.pitchfork.com/photos/5b218b7cc87cd85577eaf679/1:1/w_160/Screen%20Shot%202018-06-13%20at%205.23.20%20PM.png,/reviews/albums/a-boogie-wit-da-hoodie-international-artist/
34,12,Jay Rock,Redemption,Rap,Sheldon Pearce,June 23 2018,No,https://media.pitchfork.com/photos/5b2c18830e0e204a9b9bfa5f/1:1/w_160/jayrockredemption.jpg,/reviews/albums/jay-rock-redemption/
35,1,Mike Shinoda,Post Traumatic,Rap,Stephen Kearse,June 23 2018,No,https://media.pitchfork.com/photos/5ae0a583b4015519405a352d/1:1/w_160/Mike%20Shinoda%20(of%20Linkin%20Park):%20Post%20Traumatic.jpg,/reviews/albums/mike-shinoda-post-traumatic/
35,2,Rico Nasty,Nasty,Rap,Sheldon Pearce,June 21 2018,No,https://media.pitchfork.com/photos/5b27c372eded5567e42607da/1:1/w_160/100000x100000-999.jpg,/reviews/albums/rico-nasty-nasty/
35,3,Nas,Nasir,Rap,Stephen Kearse,June 20 2018,No,https://media.pitchfork.com/photos/5b27c6aa79b0b354fe893f70/1:1/w_160/Nas.jpg,/reviews/albums/nas-nasir/
35,4,BeyoncÃƒÆ’Ã‚Â©,Everything Is Love,Pop/R&B,Briana Younger,June 19 2018,Yes,https://media.pitchfork.com/photos/5b27cb06c87cd85577eaf7a4/1:1/w_160/Beyonce%CC%81,%20JAY-Z%20-%20Everything%20Is%20Love.jpg
35,5,Ali Shaheed Muhammad,The Midnight Hour,Rap,Brian Josephs,June 14 2018,No,https://media.pitchfork.com/photos/5b1e893625d5df5ff053e57f/1:1/w_160/Ali%20Shaheed%20Muhammad%20(of%20Tribe%20Called%20Quest)%20&%20Adrian%20Younge:%20The%20Midnight%20Hour%20.jpg,/reviews/albums/ali-shaheed-muhammad-adrian-younge-the-midnight-hour/
35,6,Fetty Wap,Bruce Wayne,Rap,Sheldon Pearce,June 13 2018,No,https://media.pitchfork.com/photos/5b182efcd25b7272360c56d7/1:1/w_160/Fetty%20Wap_Bruce%20Wayne.jpg,/reviews/albums/fetty-wap-bruce-wayne/
35,7,Tierra Whack,Whack World,Rap,Briana Younger,June 12 2018,Yes,https://media.pitchfork.com/photos/5b18380bd25b7272360c56d9/1:1/w_160/Tierra%20Whack_Whack%20World%20EP.jpg,/reviews/albums/tierra-whack-whack-world/
35,8,Kanye West,Kids See Ghosts,Rap,Jayson Greene,June 11 2018,No,https://media.pitchfork.com/photos/5b1af5ba0e0e204a9b9bf262/1:1/w_160/kidsseeghosts.jpg,/reviews/albums/kanye-west-kid-cudi-kids-see-ghosts/
35,9,Big Freedia,3rd Ward Bounce EP,Rap,Karas Lamb,June 9 2018,No,https://media.pitchfork.com/photos/5b169749d25b7272360c55c5/1:1/w_160/Big%20Freedia:%203rd%20Ward%20Bounce.jpg,/reviews/albums/big-freedia-3rd-ward-bounce-ep/
35,10,Jesse James Solomon ,Strata EP,Rap,Ciaran Thapar,June 7 2018,No,https://media.pitchfork.com/photos/5b16b5d38cbb0a71d5ea139a/1:1/w_160/Jesse%20James%20Solomon%20-%20Strata%20EP.jpg,/reviews/albums/jesse-james-solomon-strata-ep/
35,11,Black Thought ,Streams of Thought, Vol. 1,Rap,Brian Josephs,June 6 2018,No,https://media.pitchfork.com/photos/5b16abf87bb348752f6c5920/1:1/w_160/Streams%20of%20Thought%20Vol.%201_Black%20Thought.jpg
35,12,Kanye West,ye,Rap,Meaghan Garvey,June 4 2018,No,https://media.pitchfork.com/photos/5b1160a8d8c21c49d0ae4eef/1:1/w_160/Kanye%20Ye.png,/reviews/albums/kanye-west-ye/
36,1,Juice WRLD,Goodbye & Good Riddance,Rap,Jay Balfour,June 1 2018,No,https://media.pitchfork.com/photos/5b0ed02ed8c21c49d0ae4de9/1:1/w_160/Goodbye%20&%20Good%20Riddance.jpg,/reviews/albums/juice-wrld-goodbye-and-good-riddance/
36,2,J Balvin,Vibras,Rap,Matthew Ismael Ruiz,May 31 2018,No,https://media.pitchfork.com/photos/5b02cd232e977f2e8a1d6b7c/1:1/w_160/J%20Balvin:%20VIBRAS%20.jpg,/reviews/albums/j-balvin-vibras/
36,3,A$AP Rocky,Testing,Rap,Stephen Kearse,May 29 2018,No,https://media.pitchfork.com/photos/5b085c6afdfb234f261010f9/1:1/w_160/testing.jpg,/reviews/albums/asap-rocky-testing/
36,4,MIKE,Black Soap,Rap,Jeff Ihaza,May 28 2018,No,https://media.pitchfork.com/photos/5afdf5d3e1386d23163eef15/1:1/w_160/MIKE:%20Black%20Soap.jpg,/reviews/albums/mike-black-soap/
36,5,Raekwon,Only Built 4 Cuban Linx,Rap,Jonah Bromwich,May 27 2018,No,https://media.pitchfork.com/photos/5b085b861225604d94100d56/1:1/w_160/Raekwon_%20Only%20Built%204%20Cuban%20Linx.jpg,/reviews/albums/raekwon-only-built-4-cuban-linx/
36,6,Pusha-T,Daytona,Rap,Paul A. Thompson,May 25 2018,Yes,https://media.pitchfork.com/photos/5b0751560c62be4ee3ebef6e/1:1/w_160/Dd-bpglV4AA0Q2f.jpg,/reviews/albums/pusha-t-daytona/
36,7,MC Paul Barman,(((echo chamber))),Rap,Evan Rytlewski,May 25 2018,No,https://media.pitchfork.com/photos/5afdeaa8d8a22521f9d47e50/1:1/w_160/MC%20Paul%20Barman-%20(((echo%20chamber))).jpg,/reviews/albums/mc-paul-barman-echo-chamber/
36,8,KYLE,Light of Mine,Rap,Briana Younger,May 24 2018,No,https://media.pitchfork.com/photos/5af326905dadb255660637fa/1:1/w_160/Light%20of%20mine.jpg,/reviews/albums/kyle-light-of-mine/
36,9,Lil Baby,Harder Than Ever,Rap,Evan Rytlewski,May 23 2018,No,https://media.pitchfork.com/photos/5b047683fdfb234f26100fc7/1:1/w_160/harderthanever.jpg,/reviews/albums/lil-baby-harder-than-ever/
36,10,Nav,Reckless,Rap,Alphonse Pierre,May 23 2018,No,https://media.pitchfork.com/photos/5b04788ef810e34cc465109c/1:1/w_160/reckless_nav.jpg,/reviews/albums/nav-reckless/
36,11,City Girls,Period,Rap,Claire Lobenfeld,May 17 2018,No,https://media.pitchfork.com/photos/5af597ac550cbf53ca704ff5/1:1/w_160/City%20Girls:%20Period.jpg,/reviews/albums/city-girls-period/
36,12,Playboi Carti,Die Lit,Rap,Evan Rytlewski,May 16 2018,Yes,https://media.pitchfork.com/photos/5af5c8abfbc28847a52eed4e/1:1/w_160/Die%20lit.jpg,/reviews/albums/playboi-carti-die-lit/
37,1,Lorde Fredd33,NORF: The Legend of Hotboy Ronald,Rap,Mehan Jayasuriya,May 15 2018,No,https://media.pitchfork.com/photos/5af1e5a5be3f0a5229b34132/1:1/w_160/Norf-%20The%20Legend%20of%20Hotboy%20.jpg,/reviews/albums/lorde-fredd33-norf-the-legend-of-hotboy-ronald/
37,2,Tee Grizzley,Activated,Rap,Brian Josephs,May 14 2018,No,https://media.pitchfork.com/photos/5af5cde8c0afac5f5fb89e15/1:1/w_160/activated_tee.jpg,/reviews/albums/tee-grizzley-activated/
37,3,Ski Mask the Slump God,Beware the Book of Eli,Rap,Dean Van Nguyen,May 12 2018,No,https://media.pitchfork.com/photos/5aec7aab3b3d8058d7db0fe7/1:1/w_160/Ski%20Mask%20the%20Slump%20God:%20Book%20of%20Eli%20.jpg,/reviews/albums/ski-mask-the-slump-god-beware-the-book-of-eli/
37,4,Bali Baby,Baylor Swift,Rap,Sheldon Pearce,May 12 2018,No,https://media.pitchfork.com/photos/5ae88190f7078a323cc259d2/1:1/w_160/Bali%20Baby-%20Baylor%20Swift.jpg,/reviews/albums/bali-baby-baylor-swift/
37,5,Junglepussy,JP3,Rap,Jackson Howard,May 11 2018,No,https://media.pitchfork.com/photos/5ae0ce9023bb310b1c0efad5/1:1/w_160/JP3%20Album%20Art_preview.jpeg,/reviews/albums/junglepussy-jp3/
37,6,BlocBoy JB ,Simi,Rap,Paul A. Thompson,May 10 2018,No,https://media.pitchfork.com/photos/5af330209c63b62eb5a1d1ac/1:1/w_160/simi.jpg,/reviews/albums/blocboy-jb-simi/
37,7,Desiigner,L.O.D. EP,Rap,Torii MacAdams,May 9 2018,No,https://media.pitchfork.com/photos/5aec6779af241a5956059da5/1:1/w_160/Desiigner:%20Life%20of%20Desiigner%20EP.jpg,/reviews/albums/desiigner-lod-ep/
37,8,YoungBoy Never Broke Again,Until Death Call My Name,Rap,Sheldon Pearce,May 9 2018,No,https://media.pitchfork.com/photos/5ae87ecbeaa03d5ad95c5b81/1:1/w_160/%20Until%20Death%20Call%20My%20Name.jpg,/reviews/albums/youngboy-never-broke-again-until-death-call-my-name/
37,9,Rae Sremmurd,SR3MM,Rap,Sheldon Pearce,May 8 2018,No,https://media.pitchfork.com/photos/5aec6e35e9461770252d4b1d/1:1/w_160/Rae%20Sremmurd:%20S3RMM.jpg,/reviews/albums/rae-sremmurd-swae-lee-slim-jxmmi-sr3mm/
37,10,Paul White,Rejuvenate,Experimental,Jonah Bromwich,May 7 2018,No,https://media.pitchfork.com/photos/5ae09b1180a91d204f0b3998/1:1/w_160/Paul%20White_Rejuvenate.jpg,/reviews/albums/paul-white-rejuvenate/
37,11,Le1f,Blue Dream EP,Rap,Cameron Cook,May 5 2018,No,https://media.pitchfork.com/photos/5ae87f7dd19d0b5d1a9eb20b/1:1/w_160/Le1f-%20Blue%20Dream%20EP.jpg,/reviews/albums/le1f-blue-dream-ep/
37,12,Post Malone,Beerbongs & Bentleys,Rap,Evan Rytlewski,May 3 2018,No,https://media.pitchfork.com/photos/5ae880dc59be997c863bb9ea/1:1/w_160/Beerbongs%20Bentley.jpg,/reviews/albums/post-malone-beerbongs-and-bentleys/
38,1,Charge It to the Game,House With a Pool,Rap,Mike Madden,May 3 2018,No,https://media.pitchfork.com/photos/5ae87bd2eaa03d5ad95c5b7d/1:1/w_160/Charge%20It%20To%20The%20Game%20(Fat%20Tony,%20Kyle%20Mabson)-%20House%20With%20a%20Pool%20.jpg
38,2,Del the Funky Homosapien,Gate 13,Rap,Phillip Mlynar,April 28 2018,No,https://media.pitchfork.com/photos/5ad74e113033571e56a0a281/1:1/w_160/Del%20the%20Funky%20Homosapien%20+%20Amp%20Live:%20Gate%2013.jpg,/reviews/albums/del-the-funky-homosapien-amp-live-gate-13/
38,3,Nines,Crop Circle,Rap,Ciaran Thapar,April 28 2018,No,https://media.pitchfork.com/photos/5ade034ea85afb79a8445b00/1:1/w_160/Nines-%20Crop%20Circle%20.jpg,/reviews/albums/nines-crop-circle/
38,4,PeeWee Longway,Spaghetti Factory,Rap,Torii MacAdams,April 27 2018,No,https://media.pitchfork.com/photos/5ada10dab4015519405a328e/1:1/w_160/Peewee-Longway-Spaghetti-Factory-Cover-Full1.jpg,/reviews/albums/peewee-longway-spaghetti-factory/
38,5,Smoke DZA,Not for Sale,Rap,Sheldon Pearce,April 26 2018,No,https://media.pitchfork.com/photos/5ae0e70be290f1253c2a0dae/1:1/w_160/notforsaledza.jpg,/reviews/albums/smoke-dza-not-for-sale/
38,6,J. Cole,KOD,Rap,Jonah Bromwich,April 24 2018,No,https://media.pitchfork.com/photos/5ad8b39b5fadaa7e89cfd808/1:1/w_160/KOD%20J.%20Cole.jpg,/reviews/albums/j-cole-kod/
38,7,Denmark Vessey,Sun Go Nova,Rap,Stephen Kearse,April 24 2018,No,https://media.pitchfork.com/photos/5ad4b907a12ce21670cf3c66/1:1/w_160/Denmark%20Vessey:%20Sun%20Go%20Nova%20EP.jpg,/reviews/albums/denmark-vessey-sun-go-nova/
38,8,Smokepurpp,Bless Yo Trap,Rap,Sheldon Pearce,April 21 2018,No,https://media.pitchfork.com/photos/5ad74d1da12ce21670cf3e7a/1:1/w_160/Smokepurpp%20:%20Murda%20Beatz:%20Bless%20Yo%20Trap%20.jpg,/reviews/albums/smokepurpp-murda-beatz-bless-yo-trap/
38,9,nothing,nowhere.,ruiner,Rap,Austin Brown,April 20 2018,No,https://media.pitchfork.com/photos/5ad0b50bfdca4311f30baee0/1:1/w_160/nothing
