id,title,year,mpaa_rating,rating_sex_nudity,rating_violence_gore,rating_language
1,Abandon,2002,PG-13,4,4,4
2,Abduction,2011,PG-13,4,5,5
3,Abominable,2019,PG,1,2,1
4,About A Boy,2002,PG-13,3,3,5
5,About Last Night,2014,R,7,2,10
6,About Schmidt,2002,R,6,3,5
7,About Time,2013,R,6,4,5
8,Above the Rim,1994,R,0,6,9
9,"Abraham Lincoln, Vampire Hunter",2012,R,5,8,5
10,Absolutely Fabulous: The Movie,2016,R,5,4,6
11,Absolute Power,1997,R,5,7,5
12,"Abyss, The",1989,PG-13,4,5,5
13,Accepted,2006,PG-13,4,3,5
14,"Accountant, The",2016,R,1,7,7
15,Ace Ventura: Pet Detective,1994,PG-13,4,4,4
16,Ace Ventura: When Nature Calls,1995,PG-13,3,4,1
17,A.C.O.D.,2013,R,6,2,5
18,Across the Universe,2007,PG-13,7,5,5
19,Action Point,2018,R,6,6,7
20,Act of Valor,2012,R,2,8,6
21,Adam,2009,PG-13,5,4,5
22,Adaptation,2002,R,6,6,8
23,Ad Astra,2019,PG-13,1,6,5
24,"Addams Family, The",2019,PG,2,3,1
25,"Addams Family 2, The",2021,PG,2,3,1
26,Addams Family Values,1993,PG-13,2,4,1
27,Addicted to Love,1997,R,4,3,4
28,"Adjustment Bureau, The",2011,PG-13,5,5,5
29,Admission,2013,PG-13,4,3,5
30,Adrift,2018,PG-13,5,5,5
31,Adult Beginners,2015,R,4,2,9
32,Adventureland,2009,R,7,4,10
33,"Adventures of Elmo In Grouchland, The",1999,G,0,1,0
34,"Adventures of Huck Finn, The",1993,PG,0,5,2
35,"Adventures of Ociee Nash, The",2004,G,0,2,1
36,"Adventures of Pinocchio, The",1996,G,0,2,0
37,"Adventures of Pluto Nash, The",2002,PG-13,3,4,4
38,"Adventures of Rocky and Bullwinkle, The",2000,PG,2,4,2
39,"Adventures of Shark Boy & Lava Girl in 3-D, The",2005,PG,2,4,1
40,"Adventures of the Great Mouse Detective, The",1992,G,0,1,0
41,"Adventures of Tintin, The",2011,PG,1,5,3
42,Aeon Flux,2005,PG-13,5,7,0
43,"Aeronauts, The",2019,PG-13,1,4,1
44,Affliction,1998,R,2,8,8
45,African Cats,2011,G,0,5,1
46,After Earth,2013,PG-13,1,6,1
47,Aftermath,2017,R,5,5,5
48,Afternoon Delight,2013,R,9,2,9
49,After the Sunset,2004,PG-13,7,4,5
50,After We Fell,2021,R,7,4,8
51,Against the Ropes,2004,PG-13,5,5,4
52,Agent Cody Banks,2003,PG,3,4,3
53,Agent Cody Banks 2: Destination London,2004,PG,2,4,3
54,"Age of Adaline, The",2015,PG-13,4,4,3
55,"Age of Innocence, The",1993,PG,2,0,1
56,A.I.: Artificial Intelligence,2001,PG-13,4,5,2
57,Ain’t Them Bodies Saints,2013,R,4,7,5
58,Airborne,1993,PG,3,2,0
59,Air Bud,1997,PG,1,2,1
60,Air Bud: Golden Receiver,1998,G,0,2,1
61,Air Force One,1997,R,1,8,6
62,Airheads,1994,PG-13,3,3,3
63,"Air Up There, The",1994,PG,1,4,3
64,Akeelah and the Bee,2006,PG,1,2,3
65,Aladdin,1992,G,1,3,0
66,Aladdin,2019,PG,2,3,1
67,"Alamo, The",2004,PG-13,2,6,3
68,"Alan Smithee Film: Burn Hollywood Burn, An",1998,R,5,3,10
69,Alaska,1996,PG,0,3,2
70,Albatross,2012,NR,8,3,10
71,Albert Nobbs,2011,R,6,3,5
72,Alex and Emma,2003,PG-13,6,3,3
73,Alexander,2004,R,9,9,2
74,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,G,3,4,3
75,Alex Cross,2012,PG-13,5,7,5
76,Alfie,2004,R,7,3,5
77,Ali,2001,R,4,6,5
78,Alice in Wonderland,2010,PG,2,5,1
79,Alice Through the Looking Glass,2016,PG,1,4,1
80,Alien: Covenant,2017,R,5,9,8
81,Alien Resurrection,1997,R,5,9,8
82,Aliens in the Attic,2009,PG,3,4,3
83,Aliens of the Deep,2005,G,1,1,0
84,Alien: The Director’s Cut,1979,R,3,8,5
85,Alien 3,1992,R,2,8,7
86,Alien Vs. Predator,2004,PG-13,0,8,5
87,Alita: Battle Angel,2019,PG-13,1,7,5
88,Alive,1993,R,0,7,6
89,All About Eve,1950,NR,1,1,1
90,All About My Mother,1999,R,6,3,6
91,All About Steve,2009,PG-13,5,4,4
92,All About the Benjamins,2002,R,4,7,10
93,All Day and a Night,2020,R,6,7,10
94,All Dogs Go to Heaven II,1996,G,0,2,0
95,All Eyez on Me,2017,R,7,7,10
96,Allied,2016,R,6,7,6
97,All Is Lost,2013,PG-13,0,4,5
98,All Saints,2017,PG,1,3,2
99,All the King’s Men,2006,PG-13,4,5,4
100,All the Money in the World,2017,R,4,6,6
101,All the President’s Men,1976,PG,1,2,6
102,All the Pretty Horses,2000,PG-13,3,6,3
103,All Together Now,2020,PG,1,3,3
104,Almost Christmas,2016,PG-13,3,3,4
105,Almost Famous,2000,R,5,3,8
106,Aloha,2015,PG-13,3,3,5
107,Alone in the Dark,2005,R,6,9,5
108,Along Came a Spider,2001,R,3,7,5
109,Along Came Polly,2003,PG-13,6,4,4
110,Alpha,2018,PG-13,1,6,1
111,Alpha and Omega,2010,PG,2,4,1
112,Alpha Dog,2007,R,8,7,10
113,Alvin and the Chipmunks,2007,PG,2,3,2
114,Alvin and the Chipmunks: Chip-Wrecked,2011,G,1,3,1
115,Alvin and the Chipmunks: The Road Chip,2015,PG,2,3,2
116,Alvin and the Chipmunks: The Squeakquel,2009,PG,2,3,2
117,Amazing Grace,2006,PG,2,4,2
118,"Amazing Panda Adventure, The",1995,PG,2,3,1
119,"Amazing Spider-Man, The",2012,PG-13,3,6,4
120,"Amazing Spider-Man 2, The",2014,PG-13,1,6,3
121,Amelia,2009,PG,4,3,3
122,Amelie,2001,R,8,4,3
123,"American, The",2010,R,9,7,5
124,American Assassin,2017,R,6,8,8
125,American Beauty,1999,R,8,6,7
126,"American Carol, An",2008,PG-13,4,5,4
127,American Dreamz,2006,PG-13,4,4,5
128,American Factory,2019,TV-14,1,1,5
129,American Gangster,2007,R,8,9,10
130,"American Haunting, An",2006,PG-13,5,6,2
131,American History X,1998,R,7,10,10
132,American Honey,2016,R,9,4,10
133,American Hustle,2013,R,6,4,10
134,American Made,2017,R,6,6,10
135,American Me,1992,R,8,9,6
136,American Movie,1999,R,1,5,10
137,American Outlaws,2001,PG-13,3,6,4
138,"American Pickle, An",2020,PG-13,1,4,4
139,American Pie,1999,R,9,2,8
140,American Pie Presents: Girls’ Rules,2020,R,8,2,7
141,American Pie 2,2001,R,8,3,7
142,"American President, The",1995,PG-13,2,1,5
143,American Psycho,2000,R,10,9,8
144,American Reunion,2012,R,8,3,9
145,"American Rhapsody, An",2001,PG-13,3,4,3
146,American Sniper,2014,R,3,8,10
147,American Splendor,2003,R,3,4,5
148,American Teen,2008,PG-13,3,4,5
149,American Ultra,2015,R,3,8,10
150,American Wedding,2003,R,7,3,10
151,American Woman,2019,R,5,5,9
152,America’s Heart and Soul,2004,PG,3,3,1
153,America’s Sweethearts,2001,PG-13,4,4,5
154,Amistad,1998,R,5,5,1
155,"Amityville Horror, The",2005,R,6,9,5
156,Ammonite,2020,R,8,3,5
157,Amongst Friends,1994,R,4,4,7
158,Amos and Andrew,1993,PG-13,1,3,4
159,Amour,2012,PG-13,4,5,5
160,Amreeka,2009,PG-13,2,4,5
161,Amy,2015,R,5,4,6
162,Anaconda,1997,PG-13,4,8,5
163,Anacondas: The Hunt for the Blood Orchid,2004,PG-13,4,7,5
164,Analyze That,2002,R,5,6,10
165,Analyze This,1999,R,4,7,10
166,Anastasia,1997,G,0,4,0
167,Anchorman,2004,PG-13,6,5,5
168,Anchorman 2,2013,PG-13,5,5,5
169,Andie the Great,2021,NR,5,2,6
170,Andre,1994,PG,1,3,1
171,And So It Goes,2014,PG-13,3,2,4
172,Angela’s Ashes,1999,R,6,5,6
173,Angel Eyes,2001,R,5,5,8
174,Angel Has Fallen,2019,R,1,7,10
175,Angels & Demons,2009,PG-13,1,7,3
176,Angels in the Outfield,1994,PG,0,2,2
177,Anger Management,2003,PG-13,5,3,5
178,Angie,1994,R,4,0,5
179,"Angry Birds Movie, The",2016,PG,3,3,2
180,"Angry Birds Movie 2, The",2019,PG,1,3,2
181,Angus,1995,PG-13,2,2,5
182,"Animal, The",2001,PG-13,4,4,4
183,Animal Crackers,2020,TV-Y7,1,3,2
184,Animal Kingdom,2010,R,4,7,10
185,Animals,2015,R,5,5,9
186,Anna,2019,R,7,7,8
187,Anna and the Apocalypse,2019,R,4,8,7
188,Anna and the King,1999,PG-13,2,6,0
189,Annabelle,2014,R,2,7,2
190,Annabelle Comes Home,2019,R,1,6,3
191,Annabelle: Creation,2017,R,1,7,2
192,Anna Karenina,2012,NA,6,6,3
193,Annapolis,2006,PG-13,3,5,4
194,Annette,2021,R,7,6,8
195,Annie,2014,PG,2,3,3
196,Annihilation,2018,R,5,7,6
197,"Anniversary Party, The",2001,R,5,2,8
198,Anomalisa,2015,R,8,1,8
199,Anonymous,2011,PG-13,7,6,4
200,Another Earth,2011,PG-13,5,6,1
201,Another Round (aka Druk),2020,NR,5,3,5
202,Another Stakeout,1993,PG-13,2,4,3
203,Another Year,2010,PG-13,3,2,5
204,"Ant Bully, The",2006,PG,2,4,1
205,Antitrust,2001,PG-13,2,5,5
206,Ant-Man,2015,PG-13,1,5,4
207,Ant-Man and the Wasp,2018,PG-13,2,5,4
208,Antwone Fisher,2002,PG-13,4,5,5
209,Antz,1998,PG,2,4,3
210,Any Day Now,2012,R,6,3,6
211,Any Given Sunday,1999,R,8,7,10
212,Anything Else,2003,R,6,3,4
213,Anywhere But Here,1999,PG-13,4,2,3
214,Apocalypse Now Redux,2001,R,7,9,10
215,Apocalypto,2006,R,5,9,5
216,Apollo 13,1995,PG,2,2,5
217,Apollo 18,2011,PG-13,1,5,5
218,Appaloosa,2008,R,5,7,5
219,Apparition,2012,PG-13,4,7,4
220,Apt Pupil,1998,R,6,6,7
221,Aquaman,2018,PG-13,2,5,4
222,Aquamarine,2006,PG,3,3,3
223,Arbitrage,2012,R,4,4,10
224,Archenemy,2020,NR,1,7,10
225,Arctic,2019,PG-13,0,5,5
226,Arctic Dogs,2019,PG,1,3,1
227,Arctic Tale,2007,G,1,4,0
228,Are We Done Yet?,2007,PG,3,3,1
229,Are We There Yet?,2005,PG,3,4,4
230,Argo,2012,R,3,6,7
231,"Aristocrats, The",2005,NR,10,6,10
232,Arkansas,2020,R,5,7,9
233,Arlington Road,1999,R,2,7,5
234,Armageddon,1998,PG-13,3,5,6
235,Armored,2009,PG-13,1,6,5
236,Army of Darkness,1993,R,1,7,5
237,Army of the Dead,2021,R,5,10,8
238,Army of Thieves,2021,TV-MA,3,5,10
239,Around the Bend,2004,R,4,5,6
240,Around the World in 80 Days,2004,PG,3,4,3
241,"Arrival, The",1996,PG-13,3,4,5
242,Arrival,2016,PG-13,1,3,5
243,Artemis Fowl,2020,PG,0,4,1
244,Arthur,2011,PG-13,6,5,4
245,Arthur Christmas,2011,PG,1,3,1
246,Article 99,1992,R,0,6,6
247,"Artist, The",2011,PG-13,2,3,3
248,"Art of Getting By, The",2011,PG-13,4,3,5
249,"Art of Racing in the Rain, The",2019,PG,3,4,1
250,"Art of Self-Defense, The",2019,R,6,7,5
251,"Art of War, The",2000,R,6,7,7
252,Art School Confidential,2006,R,7,6,10
253,"As Above, So Below",2014,R,2,7,9
254,As Good As It Gets,1997,PG-13,3,6,6
255,As I Lay Dying,2013,R,6,5,3
256,Ask the Dust,2006,R,7,4,5
257,Aspen Extreme,1993,PG-13,4,3,3
258,Assassination Nation,2018,R,8,8,10
259,"Assassination of Jesse James by the Coward Robert Ford, The",2007,R,4,7,4
260,Assassins,1995,R,1,6,7
261,Assassin’s Creed,2016,PG-13,1,6,5
262,Assault on Precinct 13,2005,R,4,8,10
263,"Assignment, The",2020,R,8,7,6
264,"Assistant, The",2019,R,3,3,5
265,"Associate, The",1996,PG-13,4,1,3
266,Astro Boy,2009,PG,1,4,1
267,"Astronaut Farmer, The",2007,PG,1,3,3
268,"Astronaut’s Wife, The",1999,R,5,5,6
269,At Any Price,2013,R,6,5,6
270,"A-Team, The",2010,PG-13,4,7,5
271,At First Sight,1999,PG-13,5,1,3
272,ATL,2006,PG-13,6,4,5
273,Atlantis: The Lost Empire,2001,PG,2,4,2
274,Atlas Shrugged: Part I,2011,PG-13,7,2,4
275,Atlas Shrugged: Part II,2012,PG-13,4,3,3
276,ATM,2012,R,1,7,5
277,Atomic Blonde,2017,R,7,9,9
278,Atonement,2007,R,7,8,6
279,"Attack, The",2013,R,6,6,5
280,Attack the Block,2011,R,3,8,10
281,August: Osage County,2013,R,3,4,7
282,August Rush,2007,PG,2,4,3
283,Austenland,2013,PG-13,5,4,3
284,Austin Powers in Goldmember,2002,PG-13,6,4,6
285,Austin Powers: International Man of Mystery,1997,PG-13,4,3,5
286,Austin Powers: The Spy Who Shagged Me,1999,PG-13,6,5,5
287,Australia,2008,PG-13,6,7,5
288,Auto Focus,2002,R,9,4,7
289,Autumn in New York,2000,PG-13,4,1,5
290,Autumn Tale,1999,PG,2,1,1
291,Ava,2020,R,5,8,9
292,Avatar,2009,PG-13,5,7,4
293,"Avengers, The",2012,PG-13,2,7,3
294,Avengers: Age of Ultron,2015,PG-13,3,6,3
295,Avengers: Endgame,2019,PG-13,1,6,4
296,Avengers: Infinity War,2018,PG-13,2,7,4
297,"Aviator, The",2004,PG-13,5,6,5
298,AVPR: Aliens vs Predator – Requiem,2007,R,5,9,5
299,Awake,2007,R,6,7,7
300,"Awakening, The",2012,R,6,7,2
301,Away We Go,2009,R,8,2,6
302,A.X.L.,2018,PG,2,5,1
303,Babe,1995,G,0,2,1
304,Babel,2006,R,8,7,6
305,Babe: Pig in the City,1998,G,1,5,1
306,"Babe, The",1992,PG,1,1,5
307,Babies,2010,PG,5,2,0
308,Baby Boy,2001,R,9,6,10
309,Baby Driver,2017,R,4,7,10
310,Baby Geniuses,1999,PG,2,3,3
311,Babylon A.D.,2008,PG-13,4,7,5
312,Baby Mama,2008,PG-13,5,3,5
313,Baby’s Day Out,1994,PG,1,3,0
314,"Baby-Sitters Club, The",1995,PG,1,1,1
315,"Babysitter’s Guide to Monster Hunting, A",2020,TV-PG,1,4,2
316,"Bachelor, The",1999,PG-13,3,3,6
317,Bachelorette,2012,R,8,4,10
318,Backbeat,1994,R,9,5,8
319,Backstage,2000,R,8,2,10
320,"Back-up Plan, The",2010,PG-13,6,4,5
321,Bad Boys,1995,R,3,7,9
322,Bad Boys II,2003,R,6,9,10
323,Bad Boys for Life,2020,R,3,8,9
324,Bad Company,1995,R,8,5,6
325,Bad Company,2002,PG-13,3,5,5
326,Bad Education,2019,TV-MA,4,3,5
327,Bad Girls,1994,R,2,5,4
328,Bad Grandpa,2013,R,7,5,6
329,Bad Lieutenant: Port of Call New Orleans,2009,R,8,8,10
330,Bad Moms,2016,R,7,3,10
331,"Bad Moms Christmas, A",2017,R,7,4,10
332,Bad News Bears,2005,PG-13,5,4,4
333,Bad Santa,2003,R,6,5,10
334,Bad Santa 2,2016,R,8,5,10
335,Bad Teacher,2011,R,7,3,8
336,Bad Times at the El Royale,2018,R,3,7,6
337,Bad Trip,2020,R,7,6,10
338,Bad Words,2014,R,6,3,6
339,Baggage Claim,2013,PG-13,5,2,4
340,Baghead,2008,R,7,6,9
341,Bait,2000,R,5,7,10
342,"Ballad of Buster Scruggs, The",2018,R,2,9,2
343,"Ballad of Little Jo, The",1993,R,6,5,3
344,Ballistic: Ecks vs. Sever,2002,R,2,5,4
345,Balls of Fury,2007,PG-13,4,5,4
346,Balto,1995,G,0,2,0
347,Banana Split,2018,R,7,2,10
348,Bandits,2001,PG-13,4,5,4
349,Bandslam,2009,PG,4,3,3
350,"Band’s Visit, The",2007,PG-13,5,2,5
351,"Banger Sisters, The",2002,R,7,2,6
352,Bangkok Dangerous,2008,R,8,8,5
353,"Bank Job, The",2008,R,8,8,7
354,B.A.P.S.,1997,PG-13,2,2,5
355,Barb and Star Go to Vista Del Mar,2021,PG-13,5,4,5
356,Barbara,2012,PG-13,5,5,4
357,Barbershop,2002,PG-13,3,3,5
358,Barbershop: The Next Cut,2016,PG-13,4,4,5
359,Barbershop 2: Back In Business,2004,PG-13,4,4,5
360,Barb Wire,1996,R,5,8,7
361,Barney’s Great Adventure: The Movie,1998,G,0,1,0
362,Barnyard: The Original Party Animals,2006,PG,2,5,1
363,BASEketball,1998,R,5,5,7
364,Basic,2003,R,5,8,10
365,Basic Instinct,1992,R,10,8,9
366,Basic Instinct 2,2006,R,9,7,6
367,Basil,1998,R,4,5,0
368,"Basketball Diaries, The",1995,R,6,7,7
369,"Batman, The",2022,PG-13,2,7,5
370,Batman and Robin,1997,PG-13,2,5,3
371,Batman Begins,2005,PG-13,2,6,3
372,Batman Forever,1995,PG-13,2,5,2
373,Batman: Mask of the Phantasm,1994,PG,1,4,0
374,Batman Returns,1992,PG-13,2,4,2
375,Batman v Superman: Dawn of Justice,2016,PG-13,3,6,3
376,Bats,1999,PG-13,1,6,5
377,Battlefield Earth,2000,PG-13,2,6,3
378,Battle for Terra,2009,PG,1,4,1
379,Battle in Seattle,2008,R,3,5,9
380,Battle: Los Angeles,2011,PG-13,2,7,5
381,"Battle of Shaker Heights, The",2003,PG-13,3,4,5
382,Battle of the Sexes,2017,PG-13,6,2,4
383,Battle of the Year,2013,PG-13,3,3,5
384,Battleship,2012,PG-13,3,6,5
385,"Baxter, The",2005,PG-13,4,3,5
386,Baywatch,2017,R,7,7,10
387,"Beach, The",2000,R,6,8,10
388,Beach Bum,2019,R,8,5,10
389,Bean,1997,PG-13,3,2,3
390,Bears,2014,G,1,2,0
391,Beastly,2011,PG-13,3,5,4
392,Beasts of the Southern Wild,2012,PG-13,3,5,5
393,"Beautician and the Beast, The",1997,PG,2,1,2
394,Beautiful Boy,2018,R,5,4,8
395,Beautiful Creatures,2013,PG-13,5,5,4
396,"Beautiful Day In The Neighborhood, A",2019,PG,1,4,2
397,Beautiful Girls,1996,R,5,2,7
398,Beautifully Broken,2018,PG-13,3,6,2
399,"Beautiful Mind, A",2001,PG-13,4,5,4
400,Beauty and the Beast,1991,G,2,4,1
401,Beauty and the Beast,2017,PG,2,4,1
402,Beauty Shop,2005,PG-13,5,2,4
403,"Beaver, The",2011,PG-13,7,6,5
404,Beavis and Butt-head Do America,1996,PG-13,3,3,5
405,Because I Said So,2007,PG-13,6,2,4
406,Because of Winn-Dixie,2005,PG,1,3,2
407,Beckett,2021,TV-MA,2,6,6
408,Becoming,2020,PG,1,2,2
409,Becoming Jane,2007,PG,4,4,1
410,Be Cool,2005,PG-13,5,5,5
411,Bedazzled,2000,PG-13,6,3,3
412,Bed of Roses,1996,PG,2,0,1
413,Bedtime Stories,2008,PG,3,3,2
414,Bee Movie,2007,PG,2,2,2
415,Beerfest,2006,R,9,6,8
416,Bee Season,2005,PG-13,6,1,5
417,Beethoven,1992,PG,1,2,0
418,Beethoven’s 2nd,1994,PG,2,1,1
419,Before and After,1996,PG-13,4,4,5
420,Before I Fall,2017,PG-13,5,4,5
421,Before I Go to Sleep,2014,R,6,6,5
422,Before Midnight,2013,R,7,2,8
423,Before Sunrise,1995,R,3,0,5
424,Before Sunset,2004,R,5,1,5
425,Before the Devil Knows You’re Dead,2007,R,8,7,10
426,Begin Again,2014,R,4,3,9
427,Beginners,2011,R,7,3,6
428,"Beguiled, The",2017,R,6,6,2
429,Behind Enemy Lines,2001,PG-13,0,7,5
430,Being Elmo: A Puppeteer’s Journey,2011,NR,0,1,1
431,Being Flynn,2012,R,7,6,10
432,Being Human,1994,PG-13,4,5,5
433,Being John Malkovich,1999,R,6,3,7
434,Being the Ricardos,2021,R,5,2,6
435,Beirut,2018,R,6,7,8
436,Bel Ami,2012,R,7,4,5
437,Belfast,2021,PG-13,2,4,5
438,"Belko Experiment, The",2017,R,2,10,10
439,Bella,2006,PG-13,2,4,1
440,Belle,2014,PG,3,3,2
441,Belle,2021,PG,3,3,2
442,Beloved,1998,R,9,7,2
443,"Benchwarmers, The",2006,PG-13,3,4,4
444,Bend it Like Beckham,2002,PG-13,3,3,4
445,Ben-Hur,2016,PG-13,2,6,1
446,Ben Is Back,2018,R,2,3,8
447,Benji: Off the Leash,2004,PG,0,4,1
448,Bennett’s War,2019,PG-13,4,5,4
449,Benny & Joon,1993,PG,1,2,5
450,Beowulf,2007,PG-13,6,8,4
451,Bernie,2012,PG-13,3,5,5
452,Besieged,1999,R,5,2,0
453,"Best Exotic Marigold Hotel, The",2012,PG-13,4,3,5
454,Best in Show,2000,PG-13,4,2,3
455,"Best Man, The",1999,R,7,4,8
456,"Best Man Holiday, The",2013,R,6,4,6
457,Best of Enemies,2019,PG-13,2,4,4
458,"Best of Me, The",2014,PG-13,5,6,5
459,Best of the Best 2,1993,R,1,7,5
460,"Best of Youth, The",2005,R,6,5,5
461,"Better Angels, The",2014,PG,1,4,1
462,"Better Life, A",2011,PG-13,3,5,5
463,Better Luck Tomorrow,2003,R,7,6,10
464,"Beverly Hillbillies, The",1993,PG,0,2,4
465,Beverly Hills Chihuahua,2008,PG,2,4,3
466,Beverly Hills Cop III,1994,R,2,6,6
467,Beverly Hills Ninja,1997,PG-13,2,4,3
468,Bewitched,2005,PG-13,4,3,3
469,Beyond Borders,2003,R,4,8,7
470,Beyond Rangoon,1995,R,0,5,2
471,Beyond Silence,1996,R,4,2,1
472,Beyond the Lights,2014,PG-13,6,3,5
473,Beyond the Mat,1999,R,2,7,7
474,Beyond the Reach,2015,R,3,6,4
475,"BFG, The",2016,PG,0,3,2
476,Bicentennial Man,1999,PG,3,3,4
477,"Big Bounce, The",2004,PG-13,5,4,5
478,Big Bully,1996,PG,1,2,3
479,Big Daddy,1999,PG-13,3,3,5
480,Big Eyes,2014,PG-13,2,4,5
481,Big Fat Liar,2002,PG,2,3,3
482,Big Fish,2003,PG-13,4,4,3
483,Bigfoot Family,2020,TV-Y7,1,3,1
484,"Bigger Splash, A",2016,R,9,4,9
485,"Big Green, The",1995,PG,1,1,1
486,Big Hero 6,2014,PG,1,4,1
487,"Big Hit, The",1998,R,4,6,9
488,"Big Kahuna, The",2000,R,2,1,6
489,"Big Lebowski, The",1998,R,5,5,10
490,Big Miracle,2012,PG,1,3,3
491,Big Momma’s House,2000,PG-13,5,4,5
492,Big Momma’s House 2,2006,PG-13,4,4,4
493,"Big Mommas: Like Father, Like Son",2011,PG-13,5,5,4
494,"Big Short, The",2015,R,5,3,10
495,"Big Sick, The",2017,R,4,4,10
496,Big Sur,2013,R,6,5,3
497,Big Time Adolescence,2020,R,5,4,10
498,Big Trouble,2002,PG-13,5,5,6
499,"Big Uneasy, The",2011,NR,5,4,5
500,"Big Wedding, The",2013,R,7,3,6
501,"Big Year, The",2011,PG,3,3,4
502,Biker Boyz,2003,PG-13,4,5,5
503,Bill & Ted Face the Music,2020,PG-13,2,4,2
504,Billy Elliot,2000,R,3,3,10
505,Billy Madison,1995,PG-13,3,3,5
506,Bio-Dome,1996,PG-13,3,2,3
507,Bird Box,2018,R,5,7,8
508,"Birdcage, The",1996,R,4,0,6
509,Birdman or (The Unexpected Virtue of Ignorance),2014,R,5,4,10
510,Birds of Prey,2020,R,4,8,10
511,Birth,2004,R,7,3,4
512,Birthday Girl,2002,R,6,5,5
513,"Birth of a Nation, The",2016,R,5,8,3
514,Birth of the Dragon,2017,PG-13,1,5,3
515,Biutiful,2010,R,7,6,8
516,Black and Blue,2019,R,1,6,5
517,Black and White,1999,R,8,4,10
518,Black Bear,2020,R,6,4,10
519,Black Beauty,1994,G,0,3,0
520,Black Box,2020,NR,1,6,5
521,Black Christmas,2019,PG-13,4,7,5
522,"Black Dahlia, The",2006,R,8,9,6
523,Black Dog,1998,PG-13,0,7,5
524,Blackhat,2015,R,5,6,5
525,Black Hawk Down,2001,R,1,10,8
526,BlacKkKlansman,2018,R,1,5,10
527,Black Knight,2001,PG-13,4,6,4
528,Black Mask,1996,R,2,9,6
529,Black Mass,2015,R,3,8,10
530,Black Nativity,2013,PG,1,3,2
531,Black or White,2015,PG-13,2,4,5
532,Black Panther,2018,PG-13,2,6,3
533,Black Rock,2013,R,5,7,10
534,Black Sea,2015,R,2,6,10
535,Black Sheep,1996,PG-13,2,2,5
536,Black Snake Moan,2007,R,8,6,8
537,Black Swan,2010,R,8,8,6
538,Black Widow,2021,PG-13,1,6,4
539,Blade,1998,R,3,9,8
540,Blades of Glory,2007,PG-13,6,6,4
541,Blade Runner,1982,R,5,7,2
542,Blade Runner 2049,2017,R,7,7,5
543,Blade: Trinity,2004,R,5,9,8
544,Blade II,2002,R,3,10,7
545,Blair Witch,2016,R,1,6,8
546,"Blair Witch Project, The",1999,R,1,3,10
547,Blame It on the Bellboy,1992,PG-13,1,5,4
548,Blancanieves,2013,NA,4,6,0
549,Blank Check,1994,PG,0,3,2
550,Blankman,1994,PG-13,3,4,3
551,Blast from the Past,1999,PG-13,2,2,5
552,Bleed for This,2016,R,6,6,9
553,Blended,2014,PG-13,5,3,4
554,Bless the Child,2000,R,1,7,5
555,Blinded by the Light,2019,PG-13,3,4,4
556,Blindness,2008,R,9,9,8
557,"Blind Side, The",2009,PG-13,4,4,4
558,Blindspotting,2018,R,2,5,10
559,"Blind Swordsman, The: Zatoichi",2003,R,5,10,3
560,"Bling Ring, The",2013,R,4,3,7
561,Blink,1994,R,5,7,7
562,Bliss,2021,R,5,5,7
563,Blockers,2018,R,8,4,10
564,Blood and Chocolate,2007,PG-13,4,6,3
565,Blood Diamond,2006,R,5,8,6
566,Bloodshot,2020,PG-13,5,6,5
567,Blood Simple: The Director’s Cut,1984,R,4,7,6
568,Blood Work,2002,R,2,6,6
569,Blow,2001,R,6,8,10
570,Blow Dry,2001,R,6,4,5
571,Blown Away,1994,R,0,7,5
572,Blow the Man Down,2019,R,5,5,6
573,Blue Chips,1994,PG-13,1,1,5
574,Blue Crush,2002,PG-13,3,3,5
575,Blue Is the Warmest Color,2013,NC-17,10,3,6
576,Blue Jasmine,2013,PG-13,5,4,5
577,Blue Like Jazz,2012,PG-13,4,3,4
578,Blue Miracle,2021,TV-PG,1,3,2
579,Blues Brothers 2000,1998,PG-13,3,3,3
580,Blue Story,2020,R,6,7,10
581,Blue Streak,1999,PG-13,2,6,6
582,Blue Valentine,2010,R,8,4,8
583,Boat Trip,2003,R,8,3,6
584,Bobby,2006,R,5,6,5
585,"Bobby Jones, Stroke of Genius",2004,PG,3,2,4
586,"Bodyguard, The",1992,R,3,3,5
587,Body of Evidence,1993,R,9,5,5
588,Body of Lies,2008,R,2,9,9
589,Body Shots,1999,R,10,7,10
590,Bogus,1996,PG,1,2,2
591,Bohemian Rhapsody,2018,PG-13,4,3,5
592,Boiler Room,2000,R,3,3,10
593,Boiling Point,1993,R,2,5,6
594,Bolden,2019,R,8,7,5
595,Bolt,2008,PG,0,3,0
596,Bombshell,2019,R,5,4,9
597,"Bone Collector, The",1999,R,3,9,7
598,Bones,2001,R,6,10,10
599,Boo! A Madea Halloween,2016,PG-13,4,5,5
600,Boogeyman,2005,PG-13,4,6,2
601,Boogie,2021,R,4,3,10
602,Boogie Nights,1997,R,9,7,10
603,Book Club,2018,PG-13,5,2,5
604,"Book of Eli, The",2009,R,5,9,6
605,"Book of Life, The",2014,PG,2,3,1
606,Book of Shadows: Blair Witch 2,2000,R,9,9,10
607,"Bookshop, The",2018,PG,3,3,1
608,Booksmart,2019,R,7,4,10
609,"Book Thief, The",2013,PG-13,1,5,2
610,Booty Call,1997,R,8,2,10
611,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,R,9,5,6
